"","Event.ID","Source.Name","Source.Sectors","Source.Country","Event.Text","CAMEO.Code","Intensity","Target.Name","Target.Sectors","Target.Country","Story.ID","Sentence.Number","Publisher","City","District","Province","Country","Latitude","Longitude","Event.Date_1","Event.Date_2","Event.Date_3"
"38",8849986,"Lawyer/Attorney (Egypt)","Legal,Social","Egypt","Arrest, detain, or charge with legal action",173,-5,"Muslim (Egypt)","International Religious,Social,Muslim,National Religious","Egypt",2815217,3,"Reuters News","Cairo","","Muhafazat al Qahirah","Egypt",30.0626,31.2497,2005,6,2
"39",8849997,"Police (Iraq)","Government,Police","Iraq","Arrest, detain, or charge with legal action",173,-5,"Saddam Hussein","Criminals / Gangs,Elite,Dissident,International Religious,Sunni","Iraq",2815260,6,"Dow Jones International News","An Nasiriyah","","Muhafazat Dhi Qar","Iraq",31.058,46.2573,2005,6,2
"40",8850017,"Israel","","Israel","Return, release person(s)",841,7,"Citizen (Palestinian Territory, Occupied)","Social,General Population / Civilian / Social","Occupied Palestinian Territory",2815357,6,"Agence France-Presse","","","West Bank","Occupied Palestinian Territory",31.6667,35.25,2005,6,2
"41",8850041,"Bashar al-Assad","Government,National Ethnic Minority,National Religious,Social,Religious Minority,Shia,Far Right,National Ethnic,(National) Major Party,Parties,Ideological,International Religious,Executive Office,Executive","Syria","Engage in negotiation",46,7,"Ahmed Qureia","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",2815425,1,"Associated Press Newswires","Damascus","","Dimashq","Occupied Palestinian Territory",33.5102,36.2913,2005,6,2
"42",8850168,"Armed Gang (Iraq)","Unidentified Forces","Iraq","Use unconventional violence",180,-9,"Iraq","","Iraq",3486378,1,"Dow Jones International News","","","","Iraq",37,43.25,2005,6,2
"43",8850700,"Ministry (Iran)","Government","Iran","Make a visit",42,1.9,"Bangladesh","","Bangladesh",3489113,6,"United News of Bangladesh Limited","Dhaka","Dhaka District","Dhaka Division","Bangladesh",23.7104,90.4074,2005,6,2
"44",8852324,"Ariel Sharon","Center Right,Ideological,Government,(National) Major Party,Parties,Executive,Executive Office,International Ethnic,Jews","Israel","Express intent to meet or negotiate",36,4,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",3491456,2,"Organisation of Asia-Pacific News Agencies","","","","Occupied Palestinian Territory",31.779,35.2253,2005,6,3
"45",8852346,"Citizen (Lebanon)","General Population / Civilian / Social,Social","Lebanon","Accuse",112,-2,"Syria","","Syria",3491538,6,"Daily Star","Beirut","","Beyrouth","Syria",33.8889,35.4944,2005,6,3
"46",8852349,"Palestinian Territory, Occupied","","Occupied Palestinian Territory","Make statement",10,0,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",3491545,5,"Daily Star","Tulkarm","","West Bank","Occupied Palestinian Territory",32.3104,35.0286,2005,6,3
"47",8852463,"Medical Personnel (Israel)","Nongovernmental Organizations / Activists,Medical / Health NGOs","Israel","Make statement",10,0,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",3492004,5,"Associated Press Newswires","Jerusalem","","Jerusalem District","Occupied Palestinian Territory",31.769,35.2163,2005,6,3
"48",8853023,"Amr Mohammed Moussa","International Government Organization,Regional,Regional Diplomatic IGOs,Elite","Egypt","Make statement",10,0,"Arab League","International Government Organization,Regional,Regional Diplomatic IGOs","",3493613,3,"BBC Monitoring Middle East","Darfur Wilayat","","","",13,25,2005,6,3
"49",8853082,"Other Authorities / Officials (Palestinian Territory, Occupied)","Government","Occupied Palestinian Territory","Arrest, detain, or charge with legal action",173,-5,"Citizen (Palestinian Territory, Occupied)","Social,General Population / Civilian / Social","Occupied Palestinian Territory",3493884,6,"BBC Monitoring Middle East","Ramallah","","West Bank","Occupied Palestinian Territory",31.8996,35.2042,2005,6,3
"50",8853084,"Iraq","","Iraq","Consult",40,1,"Syria","","Syria",3493886,1,"Organisation of Asia-Pacific News Agencies","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,3
"51",8853102,"Armed Gang (Iraq)","Unidentified Forces","Iraq","fight with small arms and light weapons",193,-10,"Islamic Preacher (Iraq)","National Religious,International Religious,Social,Muslim","Iraq",3493939,1,"Dow Jones International News","Al Basrah","","Muhafazat al Basrah","Iraq",30.533,47.7975,2005,6,3
"52",8853135,"Armed Gang (Iraq)","Unidentified Forces","Iraq","Use unconventional violence",180,-9,"Citizen (Iraq)","General Population / Civilian / Social,Social","Iraq",3494058,5,"Associated Press Newswires","Al Basrah","","Muhafazat al Basrah","Iraq",30.533,47.7975,2005,6,3
"53",8853184,"Silvan Shalom","(National) Major Party,Cabinet,Executive,Parties,International Ethnic,Unicameral,Foreign Ministry,Center Right,Ideological,Government,Legislative / Parliamentary,Jews","Israel","Express intent to meet or negotiate",36,4,"Kofi Annan","International Government Organization,Global Diplomatic IGOs,Global","",3494183,1,"BBC Monitoring Middle East","","","","",31.779,35.2253,2005,6,3
"54",8853464,"Hosni Mubarak","Executive,Government,Executive Office,Elite","Egypt","Discuss by telephone",41,1,"George W. Bush","Executive Office,Ideological,Center Right,Government,Executive,Parties,(National) Major Party","United States",3494834,3,"BBC Monitoring Middle East","","","Washington D.C.","United States",38.9171,-77.0003,2005,6,3
"55",8853735,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory","Engage in negotiation",46,7,"George W. Bush","Executive Office,Ideological,Center Right,Government,Executive,Parties,(National) Major Party","United States",3495626,2,"BBC Monitoring Middle East","Amman","","Muhafazat `Amman","United States",31.9552,35.945,2005,6,3
"56",8853748,"Military (Lebanon)","Military,Government","Lebanon","Impose blockade, restrict movement",191,-9.5,"Lebanon","","Lebanon",3495646,1,"Reuters News","Baalbek","","Mohafazat Baalbek-Hermel","Lebanon",34.0058,36.2181,2005,6,3
